----------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------
File                                    | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                              
----------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------
All files                               |   82.71 |    64.14 |   97.75 |   82.81 |                                                                                                                                
 server                                 |   83.33 |       50 |     100 |     100 |                                                                                                                                
  database.js                           |   83.33 |       50 |     100 |     100 | 6                                                                                                                              
 server/datainterface/EXTERNAL          |   86.07 |     62.5 |     100 |   86.07 |                                                                                                                                
  ITEM_DAO.js                           |   86.07 |     62.5 |     100 |   86.07 | 14,28,53,63,73,91,114,131,147,156,174                                                                                          
 server/datainterface/INTERNAL          |   82.77 |    62.85 |    99.1 |   82.74 |                                                                                                                                
  InternalOrder_DAO.js                  |   81.87 |    57.81 |   96.77 |   81.87 | 15,20,41,46,52,71,76,85-86,125,130,164,168,201,209,258,266,272,275,281,303,310,325,334,340,363,367                             
  POSITION_DAO.js                       |    84.5 |    63.33 |     100 |    84.5 | 14,31,45,72,103,110,131,138,155,164,181                                                                                        
  SKUITEM_DAO.js                        |   85.22 |    65.78 |     100 |   85.22 | 14,29,43,61,84,93,117,143,150,167,176,181,199                                                                                  
  SKU_DAO.js                            |   84.03 |    69.35 |     100 |   83.89 | 16,30,42,51,83,91,136,146,162,171,196,204,216,227,229,233,241,264,279                                                          
  TESTRESULT_DAO.js                     |      79 |    59.25 |     100 |      79 | 15,30,33,39,42,48,64,73,95,103,106,111,136,139,145,148,154,172,181,190,208                                                     
  TestDescriptor_DAO.js                 |   83.09 |     62.5 |     100 |   83.09 | 14,30,33,39,54,75,97,106,121,128,136,153                                                                                       
 server/datainterface/SUPPLIERINTERFACE |   80.07 |    60.48 |   93.33 |   80.29 |                                                                                                                                
  RESTOCKORDER_DAO.js                   |   79.25 |    62.22 |   90.27 |   79.56 | 18,22,26,48,52,57,81,85,89,110-111,139,143,180,186,190,236,244,248,275,284,303,313,332,339,356,365,371,378,402,406,410,423-430 
  RETURNORDER_DAO.js                    |   81.92 |    55.88 |     100 |   81.92 | 12,18,35,39,57,59,64,68,74,100,104,147,153,191,200                                                                             
 server/datainterface/USER              |    86.2 |    77.14 |     100 |    86.2 |                                                                                                                                
  USER_DAO.js                           |    86.2 |    77.14 |     100 |    86.2 | 18,34,41,59,83,107,109,116,136,157,186,214,243,272,301,328                                                                     
----------------------------------------|---------|----------|---------|---------|--------------------------------------------------------------------------------------------------------------------------------
