----------------------------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------
File                                    | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                   
----------------------------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------
All files                               |   82.98 |    64.39 |   98.23 |   83.09 |                                                                                                                     
 server                                 |   83.33 |       50 |     100 |     100 |                                                                                                                     
  database.js                           |   83.33 |       50 |     100 |     100 | 6                                                                                                                   
 server/datainterface/EXTERNAL          |   86.07 |     62.5 |     100 |   86.07 |                                                                                                                     
  ITEM_DAO.js                           |   86.07 |     62.5 |     100 |   86.07 | 14,28,53,63,73,91,114,131,147,156,174                                                                               
 server/datainterface/INTERNAL          |   82.94 |    63.21 |    99.1 |   82.91 |                                                                                                                     
  InternalOrder_DAO.js                  |   81.87 |    57.81 |   96.77 |   81.87 | 15,20,41,46,52,71,76,85-86,125,130,164,168,201,209,258,266,272,275,281,303,310,325,334,340,363,367                  
  POSITION_DAO.js                       |    84.5 |    63.33 |     100 |    84.5 | 14,31,45,72,103,110,131,138,155,164,181                                                                             
  SKUITEM_DAO.js                        |   86.36 |    68.42 |     100 |   86.36 | 14,29,61,84,93,117,143,150,167,176,181,199                                                                          
  SKU_DAO.js                            |   84.03 |    69.35 |     100 |   83.89 | 16,30,42,51,83,91,136,146,162,171,196,204,216,227,229,233,241,264,279                                               
  TESTRESULT_DAO.js                     |      79 |    59.25 |     100 |      79 | 15,30,33,39,42,48,64,73,95,103,106,111,136,139,145,148,154,172,181,190,208                                          
  TestDescriptor_DAO.js                 |   83.09 |     62.5 |     100 |   83.09 | 14,30,33,39,54,75,97,106,121,128,136,153                                                                            
 server/datainterface/SUPPLIERINTERFACE |   80.75 |    60.65 |   95.09 |   80.98 |                                                                                                                     
  RESTOCKORDER_DAO.js                   |   80.21 |     62.5 |   92.75 |   80.55 | 18,22,26,47,51,77,81,85,105-106,133,137,173,179,183,227,233-245,265,274,293,303,322,329,346,355,361,368,392,396,400 
  RETURNORDER_DAO.js                    |   81.92 |    55.88 |     100 |   81.92 | 12,18,35,39,57,59,64,68,74,100,104,146,152,189,198                                                                  
 server/datainterface/USER              |    86.2 |    77.14 |     100 |    86.2 |                                                                                                                     
  USER_DAO.js                           |    86.2 |    77.14 |     100 |    86.2 | 18,34,41,59,83,107,109,116,136,157,186,214,243,272,301,328                                                          
----------------------------------------|---------|----------|---------|---------|---------------------------------------------------------------------------------------------------------------------
